state,2015,2016,2017,2018,Party
South Dakota,16.666666666666664,4.166666666666666,3.9215686274509802,6.122448979591836,R
Alabama,8.121827411167512,8.808290155440414,10.857142857142858,9.6045197740113,R
Maine,10.138248847926267,6.403940886699508,8.60215053763441,10.555555555555555,D
Illinois,10.290827740492169,6.122448979591836,6.683804627249357,11.263736263736265,D
Kansas,7.6923076923076925,5.88235294117647,10.569105691056912,12.396694214876034,D
Tennessee,11.78343949044586,7.876712328767123,9.48905109489051,12.63537906137184,R
Iowa,6.024096385542169,3.225806451612903,7.333333333333333,12.76595744680851,R
Nebraska,18.852459016393443,11.538461538461538,14.285714285714285,13.970588235294118,R
Arkansas,7.722007722007722,4.680851063829787,9.174311926605505,14.537444933920703,R
Texas,16.49214659685864,11.049723756906078,13.78299120234604,15.133531157270031,R
Alaska,16.50485436893204,14.14141414141414,16.27906976744186,15.384615384615385,R
Colorado,20.689655172413794,10.75268817204301,11.351351351351353,15.384615384615385,D
Oregon,15.135135135135137,11.76470588235294,16.666666666666664,15.853658536585366,D
Pennsylvania,17.483660130718953,10.238907849829351,14.185639229422067,16.577540106951872,D
Minnesota,12.757201646090536,8.333333333333332,12.053571428571429,16.595744680851062,D
Ohio,15.789473684210526,13.588850174216027,17.422867513611614,16.873889875666073,R
South Carolina,12.121212121212121,8.264462809917356,17.431192660550458,17.142857142857142,R
Michigan,13.866666666666665,14.206128133704734,15.727002967359049,18.13031161473088,D
Wisconsin,17.073170731707318,10.465116279069768,14.047619047619047,18.271604938271604,D
Wyoming,16.666666666666664,15.686274509803921,14.285714285714285,18.75,R
Florida,21.414913957934992,13.061224489795919,15.991471215351813,19.294605809128633,R
Rhode Island,9.375,14.516129032258066,16.071428571428573,19.642857142857142,D
New York,24.16243654822335,16.05351170568562,18.14946619217082,19.644970414201183,D
Idaho,27.1356783919598,14.689265536723164,17.80821917808219,20.47244094488189,R
Nevada,25.0,13.725490196078432,17.391304347826086,20.833333333333336,D
Georgia,21.610169491525426,16.894977168949772,21.0,21.91780821917808,R
Oklahoma,16.0,16.89189189189189,22.377622377622377,21.91780821917808,R
Massachusetts,21.764705882352942,15.04424778761062,21.58730158730159,23.278688524590162,R
Hawaii,17.02127659574468,15.555555555555555,22.857142857142858,23.684210526315788,D
New Hampshire,20.8955223880597,22.58064516129032,33.33333333333333,24.137931034482758,R
Vermont,17.105263157894736,19.736842105263158,27.027027027027028,24.65753424657534,R
Maryland,26.557377049180324,16.095890410958905,21.59090909090909,25.101214574898783,R
Arizona,22.53886010362694,16.137566137566136,19.086021505376344,25.205479452054796,R
California,23.001095290251918,17.045454545454543,19.7459584295612,25.26439482961222,D
New Mexico,24.675324675324674,16.666666666666664,20.689655172413794,27.692307692307693,D
Connecticut,19.502074688796682,18.88412017167382,25.925925925925924,32.158590308370044,D
