state,2015,2016,2017,2018,Party
Alabama,63.45177664974619,61.6580310880829,61.142857142857146,62.14689265536724,R
Alaska,59.22330097087378,62.62626262626263,58.139534883720934,61.53846153846154,R
Arizona,33.41968911917099,41.00529100529101,40.053763440860216,43.56164383561644,R
Arkansas,54.440154440154444,53.61702127659574,50.0,44.49339207048458,R
California,52.902519167579406,52.5,53.002309468822176,49.94124559341951,D
Colorado,59.11330049261084,65.05376344086021,63.24324324324324,58.791208791208796,D
Connecticut,51.037344398340245,51.072961373390555,53.24074074074075,58.590308370044056,D
Florida,53.15487571701721,53.265306122448976,50.10660980810234,51.45228215767634,R
Georgia,57.6271186440678,61.64383561643836,60.0,61.64383561643836,R
Hawaii,72.3404255319149,77.77777777777779,71.42857142857143,60.526315789473685,D
Idaho,58.79396984924623,62.14689265536724,65.06849315068493,63.77952755905512,R
Illinois,48.54586129753915,51.53061224489795,50.6426735218509,53.2967032967033,D
Iowa,36.144578313253014,38.064516129032256,40.666666666666664,40.42553191489361,R
Kansas,54.61538461538461,52.10084033613446,55.28455284552846,57.85123966942148,D
Maine,42.857142857142854,40.39408866995074,38.17204301075269,36.666666666666664,D
Maryland,46.22950819672131,49.65753424657534,45.45454545454545,44.12955465587044,R
Massachusetts,35.88235294117647,36.283185840707965,33.33333333333333,35.40983606557377,R
Michigan,49.06666666666666,47.63231197771588,45.103857566765576,45.3257790368272,D
Minnesota,43.20987654320987,42.083333333333336,40.625,41.27659574468085,D
Nebraska,49.18032786885246,58.46153846153847,57.14285714285714,55.14705882352941,R
Nevada,65.38461538461539,66.66666666666666,65.21739130434783,66.66666666666666,D
New Hampshire,46.26865671641791,46.774193548387096,49.2063492063492,44.827586206896555,R
New Mexico,54.54545454545454,61.111111111111114,65.51724137931035,63.07692307692307,D
New York,55.83756345177665,58.751393534002226,59.31198102016607,57.75147928994083,D
Ohio,60.95076400679117,61.14982578397212,60.254083484573506,58.43694493783303,R
Oklahoma,70.66666666666667,70.94594594594594,67.83216783216784,71.23287671232876,R
Oregon,47.02702702702703,47.647058823529406,45.51282051282051,45.73170731707317,D
Pennsylvania,47.05882352941176,45.563139931740615,43.78283712784589,42.60249554367201,D
Rhode Island,26.5625,37.096774193548384,37.5,37.5,D
South Carolina,29.545454545454547,28.92561983471074,26.605504587155966,39.04761904761905,R
South Dakota,66.66666666666666,64.58333333333334,64.70588235294117,63.26530612244898,R
Tennessee,36.30573248407643,38.35616438356164,39.78102189781022,42.59927797833935,R
Texas,56.80628272251309,57.73480662983425,55.718475073313776,54.3026706231454,R
Vermont,57.89473684210527,55.26315789473685,48.64864864864865,49.31506849315068,R
Wisconsin,31.263858093126384,29.069767441860467,30.714285714285715,31.851851851851855,D
Wyoming,66.66666666666666,62.745098039215684,64.28571428571429,64.58333333333334,R
